export PATH="/home/tdurieux/defects4j/framework/bin:$PATH";cp -r /home/tdurieux/projects/chart/chart_13 /tmp/chart_13_Ranking;cd /tmp/chart_13_Ranking;defects4j compile;mkdir lib/;cp -r /home/tdurieux/defects4j/framework/projects/lib/* lib/;cp -r /home/tdurieux/defects4j/framework/projects/Chart/lib/* lib/;find . -type f -name "package-info.java" -delete;
cd /tmp/chart_13_Ranking;cp -r /home/tdurieux/nopol/z3-x64-debian-7.7/bin/ lib/z3;time java -cp /home/tdurieux/nopol/nopol-0.0.3-SNAPSHOT-jar-with-dependencies.jar fr.inria.lille.repair.Main --mode ranking --type condition --oracle angelic --synthesis smt --solver z3 --solver-path lib/z3/z3 --complianceLevel 4 --source source/ --classpath build/:build-tests/:lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:lib/servlet.jar:/home/tdurieux/nopol/nopol-0.0.3-SNAPSHOT-jar-with-dependencies.jar;echo "

Node: `hostname`
";echo "
Date: `date`
";rm -rf /tmp/chart_13_Ranking;

/************************/
Executed tests:   3597
Successful tests: 3595
Failed tests:     2

org.jfree.chart.block.junit.BorderArrangementTests#testSizingWithWidthConstraint
java.lang.IllegalArgumentException: Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).
	at org.jfree.data.Range.<init>(Range.java:87)
	at org.jfree.chart.block.BorderArrangement.arrangeFF(BorderArrangement.java:493)
	at org.jfree.chart.block.BorderArrangement.arrange(BorderArrangement.java:152)
	at org.jfree.chart.block.BorderArrangement.arrangeFN(BorderArrangement.java:346)
	at org.jfree.chart.block.BorderArrangement.arrange(BorderArrangement.java:149)
	at org.jfree.chart.block.BlockContainer.arrange(BlockContainer.java:182)
	at org.jfree.chart.block.junit.BorderArrangementTests.testSizingWithWidthConstraint(BorderArrangementTests.java:560)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at junit.framework.TestCase.runTest(TestCase.java:176)
	at junit.framework.TestCase.runBare(TestCase.java:141)
	at junit.framework.TestResult$1.protect(TestResult.java:122)
	at junit.framework.TestResult.runProtected(TestResult.java:142)
	at junit.framework.TestResult.run(TestResult.java:125)
	at junit.framework.TestCase.run(TestCase.java:129)
	at junit.framework.TestSuite.runTest(TestSuite.java:255)
	at junit.framework.TestSuite.run(TestSuite.java:250)
	at junit.framework.TestSuite.runTest(TestSuite.java:255)
	at junit.framework.TestSuite.run(TestSuite.java:250)
	at org.junit.internal.runners.JUnit38ClassRunner.run(JUnit38ClassRunner.java:84)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at com.gzoltar.core.instr.testing.junit.JUnitRunner.run(JUnitRunner.java:47)
	at com.gzoltar.core.instr.Runner.main(Runner.java:46)

org.jfree.chart.block.junit.BorderArrangementTests#testSizingWithWidthConstraint
java.lang.IllegalArgumentException: Range(double, double): require lower (0.0) <= upper (-2.3000000000000007).
	at org.jfree.data.Range.<init>(Range.java:87)
	at org.jfree.chart.block.BorderArrangement.arrangeFF(BorderArrangement.java:493)
	at org.jfree.chart.block.BorderArrangement.arrange(BorderArrangement.java:152)
	at org.jfree.chart.block.BorderArrangement.arrangeFN(BorderArrangement.java:346)
	at org.jfree.chart.block.BorderArrangement.arrange(BorderArrangement.java:149)
	at org.jfree.chart.block.BlockContainer.arrange(BlockContainer.java:182)
	at org.jfree.chart.block.junit.BorderArrangementTests.testSizingWithWidthConstraint(BorderArrangementTests.java:560)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at junit.framework.TestCase.runTest(TestCase.java:176)
	at junit.framework.TestCase.runBare(TestCase.java:141)
	at junit.framework.TestResult$1.protect(TestResult.java:122)
	at junit.framework.TestResult.runProtected(TestResult.java:142)
	at junit.framework.TestResult.run(TestResult.java:125)
	at junit.framework.TestCase.run(TestCase.java:129)
	at junit.framework.TestSuite.runTest(TestSuite.java:255)
	at junit.framework.TestSuite.run(TestSuite.java:250)
	at org.junit.internal.runners.JUnit38ClassRunner.run(JUnit38ClassRunner.java:84)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at com.gzoltar.core.instr.testing.junit.JUnitRunner.run(JUnitRunner.java:47)
	at com.gzoltar.core.instr.Runner.main(Runner.java:46)


/************************/
/* Suspicious statement */
/************************/
org.jfree.chart.block.BorderArrangement:147 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:148 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:149 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:151 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:152 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:296 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:297 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:298 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:302 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:307 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:312 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:316 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:317 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:318 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:319 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:321 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:322 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:323 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:328 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:329 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:330 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:333 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:334 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:336 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:337 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:341 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:342 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:343 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:345 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:346 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:459 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:460 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:461 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:462 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:471 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:472 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:481 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:482 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:483 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:488 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:489 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:491 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:492 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:493 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:498 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:499 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
org.jfree.chart.block.BorderArrangement:501 -> 1.0 (ep: 0, ef: 2, np: 3595, nf: 0)
