export PATH="/home/tdurieux/defects4j/framework/bin:$PATH";cp -r /home/tdurieux/projects/math/math_45 /tmp/math_45_Ranking;cd /tmp/math_45_Ranking;defects4j compile;mkdir lib/;cp -r /home/tdurieux/defects4j/framework/projects/lib/* lib/;cp -r /home/tdurieux/defects4j/framework/projects/Math/lib/* lib/;find . -type f -name "package-info.java" -delete;
cd /tmp/math_45_Ranking;cp -r /home/tdurieux/defects4j-repair/src/python/core/../../../libs/z3 lib/z3;time java -cp /home/tdurieux/defects4j-repair/src/python/core/../../..//libs/nopol.jar fr.inria.lille.repair.Main --mode ranking --type condition --oracle angelic --synthesis smt --solver z3 --solver-path /home/tdurieux/defects4j-repair/src/python/core/../../..//libs/z3/z3 --complianceLevel 5 --source src/main/java/ --classpath target/classes/:target/test-classes/:lib/commons-discovery-0.5.jar:/home/tdurieux/defects4j-repair/src/python/core/../../..//libs/nopol.jar;echo "

Node: `hostname`
";echo "
Date: `date`
";rm -rf /tmp/math_45_Ranking;

/************************/
Executed tests:   3074
Successful tests: 3073
Failed tests:     1

org.apache.commons.math.linear.OpenMapRealMatrixTest#testMath679
java.lang.AssertionError: Expected exception: org.apache.commons.math.exception.NumberIsTooLargeException
	at org.junit.internal.runners.statements.ExpectException.evaluate(ExpectException.java:32)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:271)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:70)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:50)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:238)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:63)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:236)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:53)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:229)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:309)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at com.gzoltar.core.instr.testing.junit.JUnitRunner.run(JUnitRunner.java:47)
	at com.gzoltar.core.instr.Runner.main(Runner.java:46)


/************************/
/* Suspicious statement */
/************************/
org.apache.commons.math.util.OpenIntToDoubleHashMap:156 -> 0.1259881576697424 (ep: 62, ef: 1, np: 3011, nf: 0)
org.apache.commons.math.util.OpenIntToDoubleHashMap:153 -> 0.125 (ep: 63, ef: 1, np: 3010, nf: 0)
org.apache.commons.math.util.OpenIntToDoubleHashMap:154 -> 0.125 (ep: 63, ef: 1, np: 3010, nf: 0)
org.apache.commons.math.util.OpenIntToDoubleHashMap:155 -> 0.125 (ep: 63, ef: 1, np: 3010, nf: 0)
org.apache.commons.math.util.OpenIntToDoubleHashMap:150 -> 0.12403473458920847 (ep: 64, ef: 1, np: 3009, nf: 0)
org.apache.commons.math.util.FastMath:3350 -> 0.07516460280028289 (ep: 176, ef: 1, np: 2897, nf: 0)
org.apache.commons.math.util.FastMath:3344 -> 0.07235746052924216 (ep: 190, ef: 1, np: 2883, nf: 0)
org.apache.commons.math.util.FastMath:3348 -> 0.07235746052924216 (ep: 190, ef: 1, np: 2883, nf: 0)
org.apache.commons.math.util.FastMath:3349 -> 0.07235746052924216 (ep: 190, ef: 1, np: 2883, nf: 0)
org.apache.commons.math.util.FastMath:3334 -> 0.05496497099293127 (ep: 330, ef: 1, np: 2743, nf: 0)
org.apache.commons.math.util.FastMath:3325 -> 0.051502620262460476 (ep: 376, ef: 1, np: 2697, nf: 0)
org.apache.commons.math.util.FastMath:3326 -> 0.051502620262460476 (ep: 376, ef: 1, np: 2697, nf: 0)
org.apache.commons.math.util.FastMath:3330 -> 0.051502620262460476 (ep: 376, ef: 1, np: 2697, nf: 0)
org.apache.commons.math.util.FastMath:3317 -> 0.051366549693751415 (ep: 378, ef: 1, np: 2695, nf: 0)
org.apache.commons.math.util.FastMath:3321 -> 0.051366549693751415 (ep: 378, ef: 1, np: 2695, nf: 0)
org.apache.commons.math.util.MathUtils:2452 -> 0.0 (ep: 624, ef: 0, np: 2449, nf: 1)
org.apache.commons.math.util.MathUtils:2455 -> 0.0 (ep: 619, ef: 0, np: 2454, nf: 1)
org.apache.commons.math.util.FastMath:375 -> 0.0 (ep: 913, ef: 0, np: 2160, nf: 1)
org.apache.commons.math.util.FastMath:3003 -> 0.0 (ep: 1188, ef: 0, np: 1885, nf: 1)
org.apache.commons.math.util.FastMath:3518 -> 0.0 (ep: 563, ef: 0, np: 2510, nf: 1)
org.apache.commons.math.util.FastMath:3519 -> 0.0 (ep: 396, ef: 0, np: 2677, nf: 1)
org.apache.commons.math.util.FastMath:3521 -> 0.0 (ep: 535, ef: 0, np: 2538, nf: 1)
org.apache.commons.math.util.FastMath:3522 -> 0.0 (ep: 473, ef: 0, np: 2600, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:184 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:185 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:186 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:252 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:256 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:257 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:261 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:262 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
org.apache.commons.math.analysis.solvers.LaguerreSolver$ComplexSolver:263 -> 0.0 (ep: 3, ef: 0, np: 3070, nf: 1)
