export PATH="/home/tdurieux/defects4j/framework/bin:$PATH";cp -r /home/tdurieux/projects/chart/chart_17 /tmp/chart_17_Ranking;cd /tmp/chart_17_Ranking;defects4j compile;mkdir lib/;cp -r /home/tdurieux/defects4j/framework/projects/lib/* lib/;cp -r /home/tdurieux/defects4j/framework/projects/Chart/lib/* lib/;find . -type f -name "package-info.java" -delete;
cd /tmp/chart_17_Ranking;cp -r /home/tdurieux/nopol/z3-x64-debian-7.7/bin/ lib/z3;time java -cp /home/tdurieux/nopol/nopol-0.0.3-SNAPSHOT-jar-with-dependencies.jar fr.inria.lille.repair.Main --mode ranking --type condition --oracle angelic --synthesis smt --solver z3 --solver-path lib/z3/z3 --complianceLevel 4 --source source/ --classpath build/:build-tests/:lib/cobertura-lib/servlet-api-2.5-6.1.14.jar:lib/servlet.jar:/home/tdurieux/nopol/nopol-0.0.3-SNAPSHOT-jar-with-dependencies.jar;echo "

Node: `hostname`
";echo "
Date: `date`
";rm -rf /tmp/chart_17_Ranking;

/************************/
Executed tests:   3499
Successful tests: 3497
Failed tests:     2

org.jfree.data.time.junit.TimeSeriesTests#testBug1832432
java.lang.IllegalArgumentException: Requires start <= end.
	at org.jfree.data.time.TimeSeries.createCopy(TimeSeries.java:880)
	at org.jfree.data.time.TimeSeries.clone(TimeSeries.java:857)
	at org.jfree.data.time.junit.TimeSeriesTests.testBug1832432(TimeSeriesTests.java:619)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at junit.framework.TestCase.runTest(TestCase.java:176)
	at junit.framework.TestCase.runBare(TestCase.java:141)
	at junit.framework.TestResult$1.protect(TestResult.java:122)
	at junit.framework.TestResult.runProtected(TestResult.java:142)
	at junit.framework.TestResult.run(TestResult.java:125)
	at junit.framework.TestCase.run(TestCase.java:129)
	at junit.framework.TestSuite.runTest(TestSuite.java:255)
	at junit.framework.TestSuite.run(TestSuite.java:250)
	at junit.framework.TestSuite.runTest(TestSuite.java:255)
	at junit.framework.TestSuite.run(TestSuite.java:250)
	at org.junit.internal.runners.JUnit38ClassRunner.run(JUnit38ClassRunner.java:84)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at com.gzoltar.core.instr.testing.junit.JUnitRunner.run(JUnitRunner.java:47)
	at com.gzoltar.core.instr.Runner.main(Runner.java:46)

org.jfree.data.time.junit.TimeSeriesTests#testBug1832432
java.lang.IllegalArgumentException: Requires start <= end.
	at org.jfree.data.time.TimeSeries.createCopy(TimeSeries.java:880)
	at org.jfree.data.time.TimeSeries.clone(TimeSeries.java:857)
	at org.jfree.data.time.junit.TimeSeriesTests.testBug1832432(TimeSeriesTests.java:619)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at junit.framework.TestCase.runTest(TestCase.java:176)
	at junit.framework.TestCase.runBare(TestCase.java:141)
	at junit.framework.TestResult$1.protect(TestResult.java:122)
	at junit.framework.TestResult.runProtected(TestResult.java:142)
	at junit.framework.TestResult.run(TestResult.java:125)
	at junit.framework.TestCase.run(TestCase.java:129)
	at junit.framework.TestSuite.runTest(TestSuite.java:255)
	at junit.framework.TestSuite.run(TestSuite.java:250)
	at org.junit.internal.runners.JUnit38ClassRunner.run(JUnit38ClassRunner.java:84)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at com.gzoltar.core.instr.testing.junit.JUnitRunner.run(JUnitRunner.java:47)
	at com.gzoltar.core.instr.Runner.main(Runner.java:46)


/************************/
/* Suspicious statement */
/************************/
org.jfree.data.time.TimeSeries:880 -> 0.7071067811865475 (ep: 2, ef: 2, np: 3495, nf: 0)
org.jfree.data.time.TimeSeries:857 -> 0.5773502691896258 (ep: 4, ef: 2, np: 3493, nf: 0)
org.jfree.data.time.TimeSeries:876 -> 0.4472135954999579 (ep: 8, ef: 2, np: 3489, nf: 0)
org.jfree.data.time.TimeSeries:879 -> 0.4472135954999579 (ep: 8, ef: 2, np: 3489, nf: 0)
org.jfree.data.time.TimeSeries:586 -> 0.21320071635561041 (ep: 42, ef: 2, np: 3455, nf: 0)
org.jfree.data.time.TimeSeries:587 -> 0.21320071635561041 (ep: 42, ef: 2, np: 3455, nf: 0)
org.jfree.data.time.TimeSeries:600 -> 0.21320071635561041 (ep: 42, ef: 2, np: 3455, nf: 0)
org.jfree.data.time.TimeSeries:601 -> 0.21320071635561041 (ep: 42, ef: 2, np: 3455, nf: 0)
org.jfree.data.time.TimeSeries:602 -> 0.21320071635561041 (ep: 42, ef: 2, np: 3455, nf: 0)
org.jfree.data.time.Year:218 -> 0.21320071635561041 (ep: 42, ef: 2, np: 3455, nf: 0)
org.jfree.data.time.TimeSeriesDataItem:116 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:339 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:370 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:489 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:492 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:504 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:505 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:506 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:507 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:508 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:511 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:512 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:513 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:514 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:534 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:536 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:540 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:543 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:544 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:548 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:738 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:739 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:740 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:742 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:746 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:750 -> 0.19611613513818404 (ep: 50, ef: 2, np: 3447, nf: 0)
org.jfree.data.time.TimeSeries:238 -> 0.19245008972987526 (ep: 52, ef: 2, np: 3445, nf: 0)
org.jfree.data.time.Year:317 -> 0.1796053020267749 (ep: 60, ef: 2, np: 3437, nf: 0)
