export PATH="/home/tdurieux/defects4j/framework/bin:$PATH";cp -r /home/tdurieux/projects/lang/lang_9 /tmp/lang_9_Ranking;cd /tmp/lang_9_Ranking;defects4j compile;mkdir lib/;cp -r /home/tdurieux/defects4j/framework/projects/lib/* lib/;cp -r /home/tdurieux/defects4j/framework/projects/Lang/lib/* lib/;find . -type f -name "package-info.java" -delete;
cd /tmp/lang_9_Ranking;cp -r /home/tdurieux/nopol/z3-x64-debian-7.7/bin/ lib/z3;time java -cp /home/tdurieux/nopol/nopol-0.0.3-SNAPSHOT-jar-with-dependencies.jar fr.inria.lille.repair.Main --mode ranking --type condition --oracle angelic --synthesis smt --solver z3 --solver-path lib/z3/z3 --complianceLevel 6 --source src/main/java/ --classpath target/classes/:target/tests/:lib/asm.jar:lib/cglib.jar:lib/commons-io.jar:lib/easymock.jar:/home/tdurieux/nopol/nopol-0.0.3-SNAPSHOT-jar-with-dependencies.jar;echo "

Node: `hostname`
";echo "
Date: `date`
";rm -rf /tmp/lang_9_Ranking;

/************************/
Executed tests:   2200
Successful tests: 2198
Failed tests:     2

org.apache.commons.lang3.time.FastDateParserTest#testLANG_832
junit.framework.AssertionFailedError: Expected FDF failure, but got Sat Jan 03 05:00:00 UTC 1970 for ['d'd',d3] using d(\p{IsNd}++)
	at junit.framework.Assert.fail(Assert.java:57)
	at org.apache.commons.lang3.time.FastDateParserTest.testSdfAndFdp(FastDateParserTest.java:373)
	at org.apache.commons.lang3.time.FastDateParserTest.testLANG_832(FastDateParserTest.java:339)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:44)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:271)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:70)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:50)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:238)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:63)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:236)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:53)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:229)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:309)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at com.gzoltar.core.instr.testing.junit.JUnitRunner.run(JUnitRunner.java:47)
	at com.gzoltar.core.instr.Runner.main(Runner.java:46)

org.apache.commons.lang3.time.FastDateFormat_ParserTest#testLANG_832
java.lang.AssertionError: Parsed dates should be equal expected:<null> but was:<Sat Jan 03 05:00:00 UTC 1970>
	at org.junit.Assert.fail(Assert.java:88)
	at org.junit.Assert.failNotEquals(Assert.java:743)
	at org.junit.Assert.assertEquals(Assert.java:118)
	at org.apache.commons.lang3.time.FastDateParserTest.testSdfAndFdp(FastDateParserTest.java:384)
	at org.apache.commons.lang3.time.FastDateParserTest.testLANG_832(FastDateParserTest.java:339)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:57)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:606)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:47)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:44)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:271)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:70)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:50)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:238)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:63)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:236)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:53)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:229)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:309)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:160)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:138)
	at com.gzoltar.core.instr.testing.junit.JUnitRunner.run(JUnitRunner.java:47)
	at com.gzoltar.core.instr.Runner.main(Runner.java:46)


/************************/
/* Suspicious statement */
/************************/
org.apache.commons.lang3.time.FastDateParser:180 -> 0.7071067811865475 (ep: 0, ef: 1, np: 2198, nf: 1)
org.apache.commons.lang3.time.FastDateParser:537 -> 0.30151134457776363 (ep: 20, ef: 2, np: 2178, nf: 0)
org.apache.commons.lang3.time.FastDateParser:538 -> 0.30151134457776363 (ep: 20, ef: 2, np: 2178, nf: 0)
org.apache.commons.lang3.time.FastDateParser:260 -> 0.22360679774997896 (ep: 38, ef: 2, np: 2160, nf: 0)
org.apache.commons.lang3.time.FastDateParser:282 -> 0.22086305214969307 (ep: 39, ef: 2, np: 2159, nf: 0)
org.apache.commons.lang3.time.FastDateParser:283 -> 0.22086305214969307 (ep: 39, ef: 2, np: 2159, nf: 0)
org.apache.commons.lang3.time.FastDateParser:285 -> 0.22086305214969307 (ep: 39, ef: 2, np: 2159, nf: 0)
org.apache.commons.lang3.time.FastDateParser:286 -> 0.22086305214969307 (ep: 39, ef: 2, np: 2159, nf: 0)
org.apache.commons.lang3.time.FastDateParser:287 -> 0.22086305214969307 (ep: 39, ef: 2, np: 2159, nf: 0)
org.apache.commons.lang3.time.FastDateParser:288 -> 0.22086305214969307 (ep: 39, ef: 2, np: 2159, nf: 0)
org.apache.commons.lang3.time.FastDateParser:289 -> 0.22086305214969307 (ep: 39, ef: 2, np: 2159, nf: 0)
org.apache.commons.lang3.time.FastDateParser:290 -> 0.22086305214969307 (ep: 39, ef: 2, np: 2159, nf: 0)
org.apache.commons.lang3.time.FastDateParser$NumberStrategy:732 -> 0.22086305214969307 (ep: 39, ef: 2, np: 2159, nf: 0)
org.apache.commons.lang3.time.FastDateParser$NumberStrategy:733 -> 0.22086305214969307 (ep: 39, ef: 2, np: 2159, nf: 0)
org.apache.commons.lang3.time.FastDateParser$NumberStrategy:741 -> 0.22086305214969307 (ep: 39, ef: 2, np: 2159, nf: 0)
org.apache.commons.lang3.time.FastDateParser:250 -> 0.2182178902359924 (ep: 40, ef: 2, np: 2158, nf: 0)
org.apache.commons.lang3.time.FastDateParser:251 -> 0.2182178902359924 (ep: 40, ef: 2, np: 2158, nf: 0)
org.apache.commons.lang3.time.FastDateParser:276 -> 0.21566554640687682 (ep: 41, ef: 2, np: 2157, nf: 0)
org.apache.commons.lang3.time.FastDateParser:277 -> 0.21566554640687682 (ep: 41, ef: 2, np: 2157, nf: 0)
org.apache.commons.lang3.time.FastDateParser:278 -> 0.21566554640687682 (ep: 41, ef: 2, np: 2157, nf: 0)
org.apache.commons.lang3.time.FastDatePrinter$StringLiteral:641 -> 0.21320071635561041 (ep: 10, ef: 1, np: 2188, nf: 1)
org.apache.commons.lang3.time.FastDatePrinter:277 -> 0.21320071635561041 (ep: 10, ef: 1, np: 2188, nf: 1)
org.apache.commons.lang3.time.FastDatePrinter:279 -> 0.21320071635561041 (ep: 10, ef: 1, np: 2188, nf: 1)
org.apache.commons.lang3.time.FastDateParser:566 -> 0.1841149235796647 (ep: 57, ef: 2, np: 2141, nf: 0)
org.apache.commons.lang3.time.FastDateParser:145 -> 0.17277368511627203 (ep: 65, ef: 2, np: 2133, nf: 0)
org.apache.commons.lang3.time.FastDateParser:304 -> 0.17149858514250882 (ep: 66, ef: 2, np: 2132, nf: 0)
org.apache.commons.lang3.time.FastDateParser:305 -> 0.17149858514250882 (ep: 66, ef: 2, np: 2132, nf: 0)
org.apache.commons.lang3.time.FastDateParser:306 -> 0.17149858514250882 (ep: 66, ef: 2, np: 2132, nf: 0)
org.apache.commons.lang3.time.FastDateParser:331 -> 0.17149858514250882 (ep: 66, ef: 2, np: 2132, nf: 0)
org.apache.commons.lang3.time.FastDateParser:333 -> 0.17149858514250882 (ep: 66, ef: 2, np: 2132, nf: 0)
org.apache.commons.lang3.time.FastDateParser:542 -> 0.17149858514250882 (ep: 66, ef: 2, np: 2132, nf: 0)
org.apache.commons.lang3.time.FastDateParser:68 -> 0.17149858514250882 (ep: 66, ef: 2, np: 2132, nf: 0)
org.apache.commons.lang3.time.FastDateParser$CopyQuotedStrategy:624 -> 0.17149858514250882 (ep: 66, ef: 2, np: 2132, nf: 0)
org.apache.commons.lang3.time.FastDateParser$CopyQuotedStrategy:625 -> 0.17149858514250882 (ep: 66, ef: 2, np: 2132, nf: 0)
org.apache.commons.lang3.time.FastDatePrinter:328 -> 0.17149858514250882 (ep: 16, ef: 1, np: 2182, nf: 1)
org.apache.commons.lang3.time.FastDatePrinter:333 -> 0.17149858514250882 (ep: 16, ef: 1, np: 2182, nf: 1)
org.apache.commons.lang3.time.FastDatePrinter$UnpaddedNumberField:716 -> 0.17149858514250882 (ep: 16, ef: 1, np: 2182, nf: 1)
org.apache.commons.lang3.time.FastDatePrinter:359 -> 0.17149858514250882 (ep: 16, ef: 1, np: 2182, nf: 1)
org.apache.commons.lang3.time.FastDateParser:116 -> 0.16783627165933782 (ep: 69, ef: 2, np: 2129, nf: 0)
org.apache.commons.lang3.time.FastDateParser:118 -> 0.16783627165933782 (ep: 69, ef: 2, np: 2129, nf: 0)
org.apache.commons.lang3.time.FastDateParser:120 -> 0.16783627165933782 (ep: 69, ef: 2, np: 2129, nf: 0)
org.apache.commons.lang3.time.FastDateParser:121 -> 0.16783627165933782 (ep: 69, ef: 2, np: 2129, nf: 0)
org.apache.commons.lang3.time.FastDateParser:123 -> 0.16783627165933782 (ep: 69, ef: 2, np: 2129, nf: 0)
org.apache.commons.lang3.time.FastDateParser:124 -> 0.16783627165933782 (ep: 69, ef: 2, np: 2129, nf: 0)
